VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME
1942,15260,65,6515260,Laurentian-Acadian Swamp Systems
1943,13020,64,6413020,Laurentian-Acadian Northern Hardwoods Forest
1944,13030,64,6413030,Northeastern Interior Dry-Mesic Oak Forest
1945,13540,64,6413540,Northeastern Interior Pine Barrens
1946,13620,64,6413620,Laurentian-Acadian Northern Pine(-Oak) Forest
1947,13660,64,6413660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest
1948,13690,64,6413690,Central Appalachian Dry Oak-Pine Forest
1949,13700,64,6413700,Appalachian (Hemlock-)Northern Hardwood Forest
1950,13730,64,6413730,Acadian Low-Elevation Spruce-Fir-Hardwood Forest
1951,13740,64,6413740,Acadian-Appalachian Montane Spruce-Fir Forest
1952,13770,64,6413770,Central Appalachian Pine-Oak Rocky Woodland
1953,13890,64,6413890,Acadian-Appalachian Subalpine Woodland and Heath-Krummholz
1954,14000,64,6414000,Central Appalachian Alkaline Glade and Woodland
1955,14090,64,6414090,Great Lakes Alvar
1956,14710,64,6414710,Central Interior and Appalachian Floodplain Systems
1957,14720,64,6414720,Central Interior and Appalachian Riparian Systems
1958,14750,64,6414750,Laurentian-Acadian Floodplain Systems
1959,14770,64,6414770,Boreal Acidic Peatland Systems
1960,14790,64,6414790,Central Interior and Appalachian Swamp Systems
1961,14800,64,6414800,Gulf and Atlantic Coastal Plain Swamp Systems
1962,14940,64,6414940,Laurentian-Acadian Shrub-Herbaceous Wetland Systems
1963,15180,64,6415180,North-Central Interior Wet Flatwoods
1964,15260,64,6415260,Laurentian-Acadian Swamp Systems
1965,13100,52,5213100,North-Central Interior Dry-Mesic Oak Forest and Woodland
1966,13110,52,5213110,North-Central Interior Dry Oak Forest and Woodland
1967,13130,52,5213130,North-Central Interior Beech-Maple Forest
1968,13940,52,5213940,North-Central Interior Oak Savanna
1969,13950,52,5213950,North-Central Oak Barrens
1970,14110,52,5214110,Great Lakes Wet-Mesic Lakeplain Prairie
1971,14120,52,5214120,North-Central Interior Sand and Gravel Tallgrass Prairie
1972,14210,52,5214210,Central Tallgrass Prairie
1973,14710,52,5214710,Central Interior and Appalachian Floodplain Systems
1974,14790,52,5214790,Central Interior and Appalachian Swamp Systems
1975,14920,52,5214920,Great Lakes Coastal Marsh Systems
1976,14930,52,5214930,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems
1977,15180,52,5215180,North-Central Interior Wet Flatwoods
1978,13020,66,6613020,Laurentian-Acadian Northern Hardwoods Forest
